Var,bin,bin_range,bin_num,bin_good_num,bin_bad_num,bin_rate,good_bin_rate,bad_bin_rate,bin_rate_cum,good_bin_rate_cum,bad_bin_rate_cum,good_rate,bad_rate,woe,iv
loan_amnt,0,"[-inf, 9300.0]",10480,8447,2033,0.33678257,0.36127625,0.262763345,0.33678257,0.36127625,0.262763345,0.80601145,0.19398855,-0.318389103,0.031365435
loan_amnt,1,"[9300.0, 21250.0]",14097,10325,3772,0.453017546,0.441597879,0.487527465,0.789800116,0.802874129,0.75029081,0.732425339,0.267574661,0.098946937,0.004544592
loan_amnt,2,"[21250.0, inf]",6541,4609,1932,0.210199884,0.197125871,0.24970919,1,1,1,0.704632319,0.295367681,0.236454533,0.012433564
funded_amnt,0,"[-inf, 9300.0]",10480,8447,2033,0.33678257,0.36127625,0.262763345,0.33678257,0.36127625,0.262763345,0.80601145,0.19398855,-0.318389103,0.031365435
funded_amnt,1,"[9300.0, 21250.0]",14097,10325,3772,0.453017546,0.441597879,0.487527465,0.789800116,0.802874129,0.75029081,0.732425339,0.267574661,0.098946937,0.004544592
funded_amnt,2,"[21250.0, inf]",6541,4609,1932,0.210199884,0.197125871,0.24970919,1,1,1,0.704632319,0.295367681,0.236454533,0.012433564
funded_amnt_inv,0,"[-inf, 8150.0]",9552,7726,1826,0.306960602,0.330439246,0.236008789,0.306960602,0.330439246,0.236008789,0.808835846,0.191164154,-0.336553771,0.031780926
funded_amnt_inv,1,"[8150.0, 16150.0]",11222,8321,2901,0.36062729,0.355887259,0.374951532,0.667587891,0.686326504,0.610960321,0.74148993,0.25851007,0.052182776,0.000994827
funded_amnt_inv,2,"[16150.0, inf]",10344,7334,3010,0.332412109,0.313673496,0.389039679,1,1,1,0.709010054,0.290989946,0.21532872,0.016228504
term,0,[' 36 months'],23958,18647,5311,0.769908092,0.797527907,0.686441773,0.769908092,0.797527907,0.686441773,0.778320394,0.221679606,-0.149995423,0.016662412
term,1,[' 60 months'],7160,4734,2426,0.230091908,0.202472093,0.313558227,1,1,1,0.661173184,0.338826816,0.437383011,0.048587188
int_rate,0,"['  6.00%', '  5.32%', '  6.99%', '  7.49%', '  7.24%']",3118,2940,178,0.100199242,0.125743125,0.023006333,0.100199242,0.125743125,0.023006333,0.942912123,0.057087877,-1.698471599,0.174495523
int_rate,1,"['  7.99%', '  8.24%', ' 10.49%', ' 11.39%', ' 11.44%', ' 11.49%']",9162,7737,1425,0.294427662,0.330909713,0.184179915,0.394626904,0.456652838,0.207186248,0.844466274,0.155533726,-0.585932491,0.085973756
int_rate,2,"[' 12.74%', ' 13.49%', ' 13.99%', ' 14.99%', ' 15.99%']",10526,7629,2897,0.338260814,0.326290578,0.374434535,0.732887718,0.782943416,0.581620783,0.724776743,0.275223257,0.137628655,0.006625988
int_rate,3,"[' 17.99%', ' 18.99%', ' 16.99%', ' 19.99%', ' 22.74%', ' 25.49%', ' 24.74%', ' 21.49%', ' 23.99%', ' 29.49%', ' 30.79%', ' 29.99%', ' 26.24%', ' 28.69%', ' 30.94%', ' 30.74%', ' 30.89%', ' 30.84%', ' 30.99%', ' 30.49%']",8312,5075,3237,0.267112282,0.217056584,0.418379217,1,1,1,0.610563041,0.389436959,0.656230161,0.132113983
installment,0,"[-inf, 283.56]",10342,8380,1962,0.332347837,0.358410675,0.253586661,0.332347837,0.358410675,0.253586661,0.810288145,0.189711855,-0.345973842,0.036266367
